SampleNumber,ExperimentI ID,SampleID,Cell Line,Treatment,Antibody,Replicate,R1,R2,group_norm,group_avg,params,
962,50,JR839,HLF,DMSO,H3K27me3,1,/proj/jraablab/users/share/NGS/0028_Raab/JR839_S14_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR839_S14_R2_001.fastq.gz,HLF_H3K27me3,HLF_DMSO_H3K27me3,"""--bins""",962_JR839_HLF_H3K27me3_DMSO_1
963,50,JR840,HLF,DMSO,IgG,1,/proj/jraablab/users/share/NGS/0028_Raab/JR840_S15_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR840_S15_R2_001.fastq.gz,HLF_IgG,HLF_DMSO_IgG,"""--bins""",963_JR840_HLF_IgG_DMSO_1
964,50,JR841,HLF,SNDX,H3K4me3,1,/proj/jraablab/users/share/NGS/0028_Raab/JR841_S16_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR841_S16_R2_001.fastq.gz,HLF_H3K4me3,HLF_SNDX_H3K4me3,"""--bins""",964_JR841_HLF_H3K4me3_SNDX_1
965,50,JR842,HLF,SNDX,H3K27me3,1,/proj/jraablab/users/share/NGS/0028_Raab/JR842_S17_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR842_S17_R2_001.fastq.gz,HLF_H3K27me3,HLF_SNDX_H3K27me3,"""--bins""",965_JR842_HLF_H3K27me3_SNDX_1
966,50,JR843,HLF,SNDX,IgG,1,/proj/jraablab/users/share/NGS/0028_Raab/JR843_S18_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR843_S18_R2_001.fastq.gz,HLF_IgG,HLF_SNDX_IgG,"""--bins""",966_JR843_HLF_IgG_SNDX_1
967,50,JR844,HLF,DMSO,H3K4me3,2,/proj/jraablab/users/share/NGS/0028_Raab/JR844_S19_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR844_S19_R2_001.fastq.gz,HLF_H3K4me3,HLF_DMSO_H3K4me3,"""--bins""",967_JR844_HLF_H3K4me3_DMSO_2
968,50,JR845,HLF,DMSO,H3K27me3,2,/proj/jraablab/users/share/NGS/0028_Raab/JR845_S20_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR845_S20_R2_001.fastq.gz,HLF_H3K27me3,HLF_DMSO_H3K27me3,"""--bins""",968_JR845_HLF_H3K27me3_DMSO_2
969,50,JR846,HLF,DMSO,IgG,2,/proj/jraablab/users/share/NGS/0028_Raab/JR846_S21_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR846_S21_R2_001.fastq.gz,HLF_IgG,HLF_DMSO_IgG,"""--bins""",969_JR846_HLF_IgG_DMSO_2
970,50,JR847,HLF,SNDX,H3K4me3,2,/proj/jraablab/users/share/NGS/0028_Raab/JR847_S22_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR847_S22_R2_001.fastq.gz,HLF_H3K4me3,HLF_SNDX_H3K4me3,"""--bins""",970_JR847_HLF_H3K4me3_SNDX_2
971,50,JR848,HLF,SNDX,H3K27me3,2,/proj/jraablab/users/share/NGS/0028_Raab/JR848_S23_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR848_S23_R2_001.fastq.gz,HLF_H3K27me3,HLF_SNDX_H3K27me3,"""--bins""",971_JR848_HLF_H3K27me3_SNDX_2
